Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,21348.198729817363,13915.508765456008,14995.578137647772,16138.493436973858,17196.024405947635,18001.924895133452,13811.083546438462,14989.229201467964,15956.116577339819,17172.619875771274,17686.606718790536
Thres,,,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r82_acl,Cit-->AcCOAcyt+Oxacyt,(kegg:R00352),52.165276826658356,6.0799476405781725,51.09009462138474,58.33117265853725,14.896319819741752,27.976924391827563,6.193350537888957,51.08458851123538,58.110546034453165,14.939115170106462,27.492371493294684,free,1.0,1.0,0.0,100.0,FEDBAC-->AB+CDEF,no
r84_G6P_BIO,G6P-->G6PBiomass,(kegg:BiomassG6P),2.7589732354087886,5.376644821587995,29.427706445147482,3.5514052177491493,22.995252089915326,6.118430415752172,5.378585978748889,29.40581382649523,3.540374545946932,22.99307692665959,5.967024877875069,free,1.0,1.0,0.0,100.0,nd,no
r85_R5P_BIO,R5P-->R5PBiomass,(kegg:BiomassR5P),2.4510472924176154,2.0017767414363035,2.001032272744256,2.0097423164353545,2.0079166419400014,4.647849943250558,2.00000619719084,2.001149902831491,2.0000001508508527,2.000000573882,4.713461970808165,free,1.0,1.0,2.0,10.0,nd,no
r86_DHAP_BIO,DHAP-->DHAPBiomass,(kegg:BiomassDHAP),0.8514820509147398,0.007214715091702573,0.07115300589377327,0.09495182355450993,0.009675184384352775,0.07209338268848242,3.402325328583089e-06,0.10164206995607472,0.005024389005676255,0.02850135647692653,0.32865917463905703,free,2.5,1.0,0.0,5.0,nd,no
r87_Ser_BIO,Ser-->SerBiomass,(kegg:BiomassSer),0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,fixed,0.273207051,1.0,0.0,10.0,nd,no
r89_Ala_BIO,Ala-->AlaBiomass,(kegg:BiomassAla),0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,0.273207051,fixed,0.273207051,1.0,0.0,10.0,nd,no
r90_Asp_BIO,Asp-->AspBiomass,(kegg:BiomassAsp),0.21815583,0.21815583,0.21815583,0.21815583,0.21815583,0.21815583,0.21815583,0.21815583,0.21815583,0.21815583,0.21815583,fixed,0.21815583,1.0,0.0,10.0,nd,no
r92_Glu_BIO,Glu-->GluBiomass,(kegg:BiomassGlu),4.598140184315184,0.028300948189959495,2.5746543701367353,0.3562088043680453,4.347638953638264,3.945268071805174,4.796311004840616e-05,2.5736603811635996,0.40464946459241496,4.346396779530194,3.861575502380974,fitting,1.0,1.0,0.0,10.0,nd,no
r93_Gln_BIO,Gln-->GlnBiomass,(kegg:BiomassGln),4.713693325217036,3.870586276684134,5.20856718330072,4.705646856406532,0.037550224638459175,1.6874596017823502,3.8638895027275812,5.202954266281568,4.625213247413898,0.017753221280001435,1.6903052854781058,fitting,1.0,1.0,0.0,10.0,nd,no
r100_CO2_in,CO2in-->CO2Ex,(kegg:CO2_ex),239.70162074475303,0.04511186143656687,0.021104652368627796,8.13048400634117,0.06375518215138243,0.07358093556244683,1.0446740361658158e-08,4.920057399715461e-06,7.394479803876891,2.8625913728319574e-07,2.0849881821050076e-09,free,0.0,1.0,0.0,1000.0,A-->A,no
r101_CO2_ex,SubsCO2-->CO2in,(kegg:SubsCO2),176.44251721888475,0.07832029828378875,0.3195512454876555,0.11461918610439091,0.49281047940103023,2.0756147625136485,0.15231547243075058,0.31717395611899896,0.024007815192086925,0.49578007150236,2.2311566645944554,free,0.0,1.0,0.0,1000.0,A-->A,no
r103_FA_ex,AcCOAcyt+{2}NADPH-->FAEx,(kegg:FA_ex),50.46300253704131,5.937073103861548,50.39991642753034,57.33490587976104,14.893423259293249,27.963845192119045,6.16116916653002,50.399092782082604,57.144035061604185,14.939115097085983,27.4923709471912,free,1.0,1.0,0.0,100.0,nd,no
r104_MAL_ex,Mal-->Malcyt,(kegg:MAL_cyt),56.364688072211806,99.38344990788116,10.882492932109956,93.85088978683459,55.04342144849084,78.81093192596072,99.11144190273929,10.871682505805213,93.68088988832618,54.98401972116004,78.32961358088126,free,1.0,1.0,0.0,100.0,ABCD-->ABCD,no
r105_MAL_ex,Malcyt-->Mal,(kegg:MAL_cyt),55.17078904874965,27.75779075088306,0.03812484143978352,99.77674314313006,55.81733944472449,98.91747049230494,27.742433740295024,0.03620135807420875,99.78447740955615,55.81540058128164,98.93436591868775,free,1.0,1.0,0.0,100.0,ABCD-->ABCD,no
r106_mdh_cyt,Malcyt-->Oxacyt+NADH,(kegg:OXA_cyt),22.45780396865369,99.86951438171864,65.00864233611678,91.2585153972827,60.839784362451645,77.08698169105244,99.60198081672918,65.00344201389402,91.07448505728352,60.78892625868392,76.56726204334876,free,1.0,1.0,0.0,100.0,ABCD-->ABCD,no
r107_mdh_cyt,Oxacyt+NADH-->Malcyt,(kegg:OXA_cyt),21.26390494519153,28.243855224720544,54.164274245446606,97.18436875357817,61.613702358685295,97.19352025739667,28.232972654284925,54.16796086616301,97.1780725785135,61.62030711880552,97.17201438115525,free,1.0,1.0,0.0,100.0,ABCD-->ABCD,no
